,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,,,,,,37.0,22.0,111.0,8.0,4.0,162.0,3.2,,,25.0,2.1940215,50.0
4,1994,,,,,,,,50.0,15.0,75.0,12.0,5.0,219.0,3.2,,,,3.1770654,75.0
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,86.5,6.5,0.108,3.75,19.5,46.0,9.0,52.0,26.0,7.0,255.0,3.2,,,18.75,2.7771297,38.88889
7,1997,0.0,,86.5,13.5478115,0.1,3.8,19.5,42.0,8.0,42.0,32.0,10.0,256.0,3.4,,,14.285714,4.21489835,30.434782
8,1998,,,,,,,,,,,,,,,,,,,
9,1999,0.0,,84.5,7.516471,0.144,4.25,18.9,69.0,7.7,35.0,41.1,7.2,382.0,5.21,,,26.190475,5.698929,
10,2000,,,,,,,,,,,,,,,,,,,
11,2001,0.0,,78.6,7.6,0.123,4.25,18.1,9.7,2.8,8.8,9.9,11.0,103.0,1.76,,,14.285714,2.3470662,
12,2002,0.0,,,,,,,13.9,5.6,13.4,14.6,15.7,252.4,4.32,-2.0,42.5,67.27273,3.4624214,
13,2003,0.01,,84.2,8.6,0.16,4.25,17.4,13.1,4.4,10.6,13.6,10.0,169.2,2.82,4.0,43.232045,74.545455,3.8247967,52.173912
14,2004,0.0,,,,,,,16.9,5.6,11.2,12.9,11.1,228.8,3.94,0.0,43.2350175,71.818184,3.2444413,
15,2005,0.02,,75.0,7.8,0.234,4.75,17.4,13.3,8.8,15.0,15.0,15.5,301.9,6.7,1.0,45.6504095,67.72727,5.501265,
16,2006,0.03,,,,,,,10.7,5.6,12.6,17.4,7.8,262.9,7.28,1.0,47.174141000000006,71.36364,5.2740784,
17,2007,0.0,,91.6,7.4,0.207,4.75,16.9,13.2,4.4,10.9,16.4,5.7,217.8,6.42,0.0,45.6542625,75.90909,3.2581174,63.04348
18,2008,0.02,,,,,,,7.3,3.8,10.7,15.5,6.4,177.8,6.61,0.0,45.818357500000005,,4.2861967,
19,2009,0.0,,74.1,8.747077,0.218,4.75,17.0,6.3,3.4,9.6,16.9,8.0,134.4,5.43,0.0,47.708977,71.36364,2.974033,52.173912
20,2010,0.0,,74.1,8.747077,0.2,4.5,17.0,7.7,4.2,9.7,20.4,9.0,167.8,6.2,,49.19355,,3.135544,
21,2011,,0.45436508833333344,,,,,,,,,,,,,,,67.333332,7.518222941666668,
22,2012,,0.44907408166666674,,,,,,,,,,,,,1.0,52.19619,68.666664,7.570855833333334,
23,2013,,0.5687830891666666,,,,,,,,,,,,,2.0,51.964134,64.666664,8.292765891666667,
24,2014,0.0,0.6362433925,93.9,6.1,0.267,4.5,17.0,8.3,1.4,1.0,2.6,1.6,80.2,1.21,0.0,26.2604125,68.0,7.567457884615385,73.91304
25,2015,0.0,0.4642857241666667,98.0,10.0,0.32,4.5,17.1,16.0,3.0,0.9,1.0,0.9,229.0,2.89,0.0,46.919193,,7.163483269230769,
26,2016,0.0,0.5886243433333332,83.0,12.0,0.19,4.5,17.0,9.0,3.0,2.0,1.0,5.0,162.0,2.71,0.0,47.09365,,8.816939808333334,63.04348
27,2017,,,,,,,,,,,,,,,0.0,47.278133,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
