,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,85.7,8.8,0.008,1.0,30.7,30.0,18.0,31.0,4.0,0.0,204.0,5.3,,,34.375,0.78853184,88.888885
4,1994,,,,,,,,,,,,,,,,,,,
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,85.7,13.8,0.008,1.0,30.7,24.0,18.0,43.0,5.0,0.0,403.0,5.3,,,,0.919988,
7,1997,0.03333333333333333,,72.1,9.633333333333335,0.013333333333333334,1.6666666666666667,26.866666666666664,40.666666666666664,16.333333333333332,37.333333333333336,4.666666666666667,0.0,381.0,5.466666666666666,,,35.1190475,3.8785399,73.369563
8,1998,,,,,,,,,,,,,,,,,,,
9,1999,0.02,,64.1,11.55,0.011,2.0,26.5,53.0,12.45,27.5,2.8,0.0,473.2,6.6,,,50.0,4.39457035,82.608696
10,2000,0.0,,56.75,13.649999999999999,0.033,2.25,25.6,45.5,11.5,24.0,3.35,0.0,445.5,7.625,,,,3.1991198,78.26086799999999
11,2001,0.045,,56.45,12.25,0.027,2.25,25.6,34.3,7.2,14.2,2.3499999999999996,0.0,294.3,4.975,,,42.857143,3.6291988,73.91304
12,2002,0.0,,58.2,11.9,0.041,2.5,21.7,25.8,10.45,11.6,2.2,0.0,313.15,5.029999999999999,-1.0,27.5,63.409092,2.016543925,
13,2003,0.0,,62.599999999999994,14.05,0.053,2.5,22.2,84.55,17.35,24.549999999999997,3.7,0.0,601.8499999999999,7.725,-2.0,38.19674733333333,,4.286634,
14,2004,0.04,,82.1,9.5,0.064,2.5,21.4,58.25,10.0,18.45,3.4000000000000004,0.0,521.95,9.385,-4.0,38.249912,76.36364,5.11234975,
15,2005,0.04,,80.19999999999999,10.45,0.065,2.5,21.2,40.9,7.9,15.850000000000001,0.0,0.0,442.3,7.4,-1.0,38.039824,80.0,4.0035374,
16,2006,0.05,,60.3,13.049999999999999,0.03,2.25,19.2,61.300000000000004,7.550000000000001,13.350000000000001,3.0,0.0,556.2,8.47,1.0,38.08309433333333,75.90909,4.92742185,
17,2007,0.06,,65.25,12.0,0.052,2.5,21.0,38.9,5.300000000000001,8.3,1.7000000000000002,0.0,440.1,6.38,0.0,36.66918066666667,,4.1282898,
18,2008,0.06,,62.7,11.05,0.047,2.25,21.1,32.1,4.800000000000001,7.05,1.1,0.0,407.45000000000005,6.1,0.0,36.682427999999994,,3.9073114,
19,2009,0.05,,70.95,8.25,0.044,2.25,20.2,26.9,4.75,5.6,0.85,0.0,417.5,5.305,0.0,36.79595966666667,,3.7037431,
20,2010,0.05,,55.1,10.0,0.04,2.5,20.9,32.0,4.95,4.800000000000001,0.95,0.0,423.1,5.17,,37.01613,79.545456,3.741581,
21,2011,,0.42598037749999995,,,,,,,,,,,,,-1.0,37.62992,75.0,8.038568066666667,
22,2012,,0.37426470583333327,94.0,4.6,0.064,2.5,20.9,16.9,4.1,3.5,0.6,0.4,319.2,3.53,3.0,37.57447,,7.81427443076923,
23,2013,,0.3720588258333333,,,,,,,,,,,,,1.0,37.2093,,7.826718716666666,
24,2014,,0.41764706,51.3,7.3,0.098,2.5,20.9,22.8,5.9,4.4,3.9,0.0,383.3,3.93,0.0,37.318439999999995,,8.354331123076921,
25,2015,,0.3995098108333333,81.0,7.0,0.06,3.0,20.9,27.0,4.0,3.0,1.0,0.09,369.0,4.26,0.0,37.63158,,8.2707725,
26,2016,,0.29705882916666665,,,,,,,,,,,,,,,,7.7493793166666665,
27,2017,,,,,,,,,,,,,,,0.0,39.179264,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
