,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,,,,,,,,,,,,,,,,,
4,1994,,,89.4,7.8,0.044,6.0,21.9,,,,,,,,,,50.0,0.12390945,25.0
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,46.6,9.2,0.1,5.5,20.7,15.0,3.0,13.0,17.0,3.0,157.0,3.6,,,34.375,1.0308689,41.666668
7,1997,,,85.2,18.2,0.068,5.5,20.8,13.0,5.0,15.0,20.0,6.0,288.0,6.0,,,,1.6716185,52.77778
8,1998,0.0,,89.1,12.9,0.06,5.5,20.9,21.2,8.2,16.7,27.1,13.4,455.4,9.4,,,26.190475,3.8938131,30.434782
9,1999,0.02,,70.4,14.5,0.068,6.0,21.7,21.0,8.9,24.0,32.0,13.0,499.0,11.26,,,50.0,5.429653,52.173912
10,2000,0.03,,55.3,14.0,0.073,5.5,21.1,14.0,6.1,13.2,24.4,11.5,327.3,9.79,,,38.095238,5.077126,
11,2001,0.03,,82.3,12.5,0.087,5.5,18.6,4.6,5.0,11.0,16.0,8.7,227.0,9.47,,,,4.4031,
12,2002,0.0,,95.2,10.5,0.092,5.5,21.1,11.2,5.5,12.3,18.6,10.9,330.8,11.49,1.0,41.666666666666664,75.90909,3.5424478,
13,2003,0.0,,52.7,17.8,0.092,5.5,19.0,25.9,6.4,10.5,15.3,11.6,430.2,6.91,2.0,42.353448,78.636364,3.6135106,
14,2004,0.05,,51.0,19.15,0.096,5.5,18.3,31.1,7.5,11.5,15.6,12.0,426.2,6.79,3.0,45.93537425,75.90909,5.627985799999999,
15,2005,0.07666666666666666,,72.0,16.333333333333332,0.10833333333333334,5.666666666666667,14.299999999999999,20.099999999999998,4.466666666666667,3.766666666666667,4.866666666666666,8.433333333333332,316.8,6.09,4.0,44.125153,75.454544,4.853922933333333,68.47826
16,2006,0.11,,54.4,22.2,0.098,5.5,18.0,30.2,7.0,3.1,6.2,9.3,552.9,9.7,0.0,49.372547,73.181816,6.2009354,46.739132
17,2007,0.1,,45.2,19.7,0.129,5.5,16.6,19.2,6.8,4.8,11.2,11.0,479.3,13.24,2.0,51.720258666666666,76.818184,6.061636,38.04348
18,2008,0.1,,54.1,20.7,0.177,5.5,17.5,24.3,7.0,6.8,17.7,12.5,553.6,16.14,,54.986668,,6.5951653,46.739132
19,2009,0.11,,61.7,17.8,0.12,5.5,18.4,18.6,6.6,8.0,20.4,12.7,456.6,15.0,0.0,55.271744,,6.3861957,
20,2010,0.08,,80.1,7.4,0.126,5.6,18.1,31.0,22.6,13.0,70.0,12.7,527.8,13.16,0.0,55.93903733333334,77.95454699999999,7.8575273,52.173912
21,2011,,0.47945205083333337,,,,,,,,,,,,,,,73.0,12.186935208333333,
22,2012,,0.467893835,71.0,9.4,0.11,5.5,17.4,22.8,8.9,16.4,50.0,11.7,430.4,12.81,,59.13393,,11.592452999999999,
23,2013,,0.44306506500000004,,,,,,,,,,,,,,,,11.304193374999999,
24,2014,0.12,0.40810502333333337,53.9,16.2,0.134,5.5,17.5,17.9,7.9,17.4,57.7,11.8,422.8,12.47,0.0,61.241985,71.333336,11.608759807692307,46.739132
25,2015,,0.426227165,92.0,12.0,0.14,5.5,17.5,14.0,6.0,15.0,26.0,0.9,436.0,8.7,0.0,45.400302499999995,,11.677455192307692,68.478264
26,2016,,0.40439497666666674,,,,,,,,,,,,,,,,9.906957833333333,
27,2017,,,,,,,,,,,,,,,0.0,30.156406,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
