,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,,,,,,4.0,1.0,1.0,0.0,0.0,4.0,3.5,,,25.0,,100.0
4,1994,,,82.9,7.0,0.017,0.5,34.6,11.0,1.0,1.0,1.0,0.0,94.0,3.5,,,34.375,0.008537025,
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,,,,,,,,,,,,,,,,,
7,1997,0.0,,89.9,6.6,0.012,0.75,30.2,7.0,5.0,4.0,1.0,0.0,240.0,3.5,,,26.190475,1.2836664,78.26087
8,1998,0.0,,66.1,10.8,0.022,0.75,29.6,12.0,8.0,9.0,2.0,0.0,372.0,6.0,,,,1.54234575,69.565216
9,1999,0.0,,80.1,6.9,0.026,1.25,30.2,8.4,5.4,6.5,1.9,0.0,280.7,5.61,,,,1.5629373,78.26087
10,2000,0.0,,83.8,12.6,0.021,1.25,30.4,17.0,5.6,6.3,1.3,0.0,357.0,7.38,,,,1.7202085,
11,2001,0.0,,70.1,15.3,0.009,1.25,29.1,15.0,4.6,4.3,0.0,1.4,251.0,4.94,,,,1.499976,69.565216
12,2002,0.0,,59.3,11.4,0.024,1.25,28.1,10.1,6.8,6.2,2.9,1.8,380.5,7.3,4.0,12.5,67.72727,1.99141,
13,2003,0.0,,55.4,5.7,0.027,1.25,26.1,11.6,7.0,5.2,1.4,0.0,433.6,6.34,3.0,11.429558,61.81818,1.8390929,
14,2004,0.0,,69.3,5.3,0.048,1.75,25.0,9.8,4.9,4.2,0.0,0.0,345.4,6.86,6.0,15.537804999999999,60.0,1.8071975,60.869564
15,2005,0.06,,66.7,7.8,0.061,1.75,23.1,12.8,5.9,4.8,0.0,0.0,380.6,7.47,5.0,17.232611499999997,69.09091,3.8593998,82.608696
16,2006,0.09,,82.8,5.4,0.064,1.75,24.2,15.2,5.7,4.8,4.3,0.4,355.7,7.78,-1.0,18.722610500000002,,4.1936975,
17,2007,0.09,,85.8,8.4,0.033,1.75,23.6,13.2,4.8,4.5,2.4,0.2,332.4,7.76,-2.0,17.3988325,68.63636,4.0296125,91.304344
18,2008,0.09,,84.9,8.6,0.034,1.75,24.3,12.3,4.2,3.6,1.6,0.0,355.5,7.62,-4.0,17.810717,72.27273,4.0652347,
19,2009,0.11,,62.0,11.1,0.038,1.75,22.4,8.6,4.4,3.4,1.6,0.0,327.0,6.35,2.0,19.987729,70.0,4.242747,77.17391
20,2010,0.1,,87.9,5.6,0.048,1.75,23.4,3.4,2.8,3.0,1.0,0.0,132.6,4.93,,20.03096,,3.2568564,
21,2011,,0.30827702416666664,,,,,,,,,,,,,,,69.333332,7.045019958333332,
22,2012,,0.2722409908333333,,,,,,,,,,,,,-1.0,23.505747,,6.990372727272727,
23,2013,,0.2525337833333334,,,,,,,,,,,,,,,,6.93941598,
24,2014,0.1,0.228322075,57.1,7.1,0.059,2.0,23.4,11.9,3.2,2.9,2.2,0.0,175.9,3.46,0.0,24.425401,,7.141102591666667,
25,2015,0.08,0.23817567333333334,85.0,5.0,0.05,2.0,21.0,12.0,3.0,2.0,0.09,0.09,216.0,3.54,0.0,26.519326,72.333336,7.285530853846153,73.91304
26,2016,,0.2505630641666667,,,,,,,,,,,,,,,,7.331258041666666,
27,2017,,,,,,,,,,,,,,,0.0,29.29094,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
