,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,,,,,,53.0,13.0,12.0,44.0,81.0,186.0,3.8,,,,4.7592597,25.0
4,1994,,,86.5,9.1,0.045,2.75,22.6,4.0,5.0,10.0,30.0,1.0,127.0,3.8,,,25.0,0.6996785,100.0
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,65.6,12.0,0.053,3.0,22.4,4.0,5.0,10.0,33.0,1.0,220.0,3.8,,,,0.83181643,
7,1997,0.0,,65.6,13.0,0.053,3.0,22.4,3.0,4.0,8.0,24.0,6.0,190.0,3.2,,,16.666666,2.642683,50.0
8,1998,,,,,,,,,,,,,,,,,,,
9,1999,0.08,,83.8,7.4,0.039,3.0,23.0,4.4,3.8,6.0,15.0,10.1,238.4,4.11,,,33.333332,4.9705925,66.666664
10,2000,0.11,,83.8,9.7,0.039,3.0,23.0,3.2,2.7,4.1,8.5,9.7,157.6,3.0,,,25.0,4.7137823,58.333332
11,2001,0.07,,83.9,9.3,0.034,3.25,23.6,4.8,2.6,3.2,5.9,11.0,150.0,2.6,,,33.333332,4.272906,66.666664
12,2002,0.03,,,,,,,2.9,4.1,4.0,8.1,17.3,186.1,3.88,,,79.591835,4.082424,
13,2003,0.08,,67.8,8.7,0.031,3.25,21.8,3.9,3.5,2.8,6.1,16.7,195.1,3.11,,,,4.8268905,
14,2004,0.12,,,,,,,4.3,3.8,2.5,3.9,14.0,168.3,3.18,,,77.04082,4.9851975,58.333332
15,2005,0.16,,81.8,9.4,0.069,3.25,20.3,7.0,4.3,2.9,3.4,25.6,277.9,5.45,,,,6.4840775,
16,2006,0.2,,,,,,,10.6,4.1,3.3,6.2,14.3,315.9,6.69,,,,6.493969,
17,2007,0.17,,58.0,14.2,0.069,3.0,19.7,10.3,3.9,3.1,4.6,11.0,314.6,6.56,,,,6.515044,
18,2008,0.16,,64.9,10.6,0.054,3.25,20.0,9.4,3.6,3.1,3.1,7.9,274.1,5.82,,,,5.754318,
19,2009,0.2,,,,,,,6569.95,345.55,32.5,2.05,4.3,164.25,3.285,,,82.14286,7.35020865,41.666668
20,2010,0.19,,94.1,10.2,0.074,3.25,19.6,10.4,3.9,2.8,5.0,7.1,246.0,5.41,,,77.04082,5.8752537,58.333332
21,2011,,0.33576388749999997,,,,,,,,,,,,,,,72.82609,9.758882916666666,
22,2012,,0.3767361125,,,,,,,,,,,,,,,,9.992368500000001,
23,2013,,0.43645833083333335,,,,,,,,,,,,,1.0,45.0,72.10145,10.337663708333332,
24,2014,0.32,0.40937500000000004,53.8,12.7,0.093,4.0,20.5,15.7,8.1,8.9,26.9,3.2,421.8,6.68,0.0,37.290428,73.91304,11.256930727272728,66.666664
25,2015,0.32,0.42256944333333335,75.0,10.0,0.1,4.0,20.5,9.0,5.0,10.0,17.0,0.09,387.0,6.18,2.0,34.701885,,11.297506,83.333336
26,2016,,0.45243055416666667,,,,,,,,,,,,,,,,11.040610625000001,
27,2017,,,,,,,,,,,,,,,0.0,34.71857,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
