,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index,hi1,hi2,hi3,hi4
0,1990,,,,,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,,,,,
3,1993,,,,,,,,,,,,,,,,,,,
4,1994,,,86.0,6.3,0.03,4.75,22.3,13.0,9.0,15.0,16.0,6.0,153.0,3.9,,,34.375,1.4221727,52.77778
5,1995,,,,,,,,,,,,,,,,,,,
6,1996,,,,,,,,,,,,,,,,,,,
7,1997,0.0,,86.0,9.9,0.03,4.75,22.3,18.0,13.0,35.0,150.0,4.0,223.0,3.9,,,26.190475,5.0446296,30.434782
8,1998,0.0,,86.0,11.0,0.039,5.0,20.9,11.0,10.0,36.0,141.0,4.0,207.0,4.0,,,,4.230203,
9,1999,0.0,,86.0,16.6,0.039,5.0,20.9,15.0,6.3,29.0,94.0,2.8,302.0,6.8,,,,3.8612761,41.304348
10,2000,0.0,,88.2,9.9,0.048,4.75,21.0,14.0,5.4,24.0,64.0,1.8,323.0,7.04,,,,3.4190202,52.173912
11,2001,0.0,,92.3,11.1,0.048,4.75,21.0,24.5,6.6,21.8,45.8,1.8,415.3,10.08,,,,3.253115,
12,2002,0.0,,83.9,16.7,0.084,4.75,19.7,38.8,7.4,21.8,43.2,1.9,538.2,11.69,1.0,25.0,71.818184,3.6986406,
13,2003,0.0,,,,,,,31.7,6.8,19.3,28.7,1.2,432.4,5.88,3.0,27.077586,63.18182,2.784974,
14,2004,0.0,,99.0,11.9,0.08,5.0,18.4,30.8,7.9,15.1,19.0,0.9,565.4,12.29,3.0,28.469388,62.727272,2.624187,
15,2005,0.01,,,,,,,22.6,6.2,19.0,14.8,0.6,379.6,9.04,1.0,28.476775,71.590912,3.1784475,73.91304
16,2006,0.04,,91.6,16.1,0.11,4.5,17.9,25.7,5.0,11.0,9.8,0.5,356.7,10.63,1.0,30.705883,75.0,3.7878373,
17,2007,0.0,,,,,,,11.4,4.0,9.9,7.7,0.3,214.8,8.73,0.0,31.829897,,1.596089,
18,2008,0.02,,48.8,16.9,0.064,5.0,18.4,17.1,3.9,9.9,6.0,0.7,291.6,10.2,0.0,32.480000000000004,71.36364,3.0897465,
19,2009,0.0,,66.6,11.7,0.074,4.75,18.0,11.1,3.9,8.4,4.2,0.0,237.5,9.0,0.0,32.8125,,1.5554805,
20,2010,0.0,,66.9,11.7,0.074,4.75,18.0,11.1,4.1,8.2,3.7,0.0,240.9,7.88,2.0,33.333335,75.0,1.5717188,
21,2011,,0.2519747208333334,,,,,,,,,,,,,1.0,33.173252,71.666664,5.120823816666666,
22,2012,,0.3457740941666667,,,,,,,,,,,,,,,,5.501275925000001,
23,2013,,0.2399289125,,,,,,,,,,,,,3.0,34.452892,,5.183758827272727,
24,2014,0.0,0.22373617749999997,76.4,10.0,0.083,5.0,18.4,12.5,5.2,5.6,3.8,0.0,215.6,5.68,0.0,34.393181999999996,,5.0591675,
25,2015,0.0,0.2162322275,86.0,8.0,0.09,5.0,18.4,9.0,3.0,4.0,1.0,0.09,164.0,5.91,2.0,35.147522,,4.909722146153847,
26,2016,,0.23637440666666668,,,,,,,,,,,,,7.0,35.103573,69.0,4.921082808333334,
27,2017,,,,,,,,,,,,,,,0.0,35.438473,,,
28,2018,,,,,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,,,,,
