,year,quantity,load_factor,breakdown_voltage,water_content,acidity,color,interfacial_tension,h2,ch4,c2h6,c2h4,c2h2,co,coh2,impact_index
0,1990,,,,,,,,,,,,,,,
1,1991,,,,,,,,,,,,,,,
2,1992,,,,,,,,,,,,,,,
3,1993,,,,,,,,,,,,,,,
4,1994,,,,,,,,,,,,,,,
5,1995,,,,,,,,,,,,,,,
6,1996,,,73.9,13.7,0.011,1.5,27.3,34.0,10.0,22.0,3.0,0.0,309.0,4.8,
7,1997,0.07,,73.9,9.85,0.011,1.5,27.3,32.0,11.5,25.5,4.0,1.0,329.0,5.25,
8,1998,0.025,,72.5,13.5,0.014,2.0,27.1,32.0,14.3,30.45,5.85,1.65,450.0,6.45,
9,1999,0.025,,73.2,12.65,0.017,1.75,27.7,49.5,16.5,34.45,9.8,5.15,531.15,10.24,
10,2000,0.02,,88.4,8.75,0.018,1.75,26.7,27.700000000000003,11.399999999999999,27.35,9.75,6.85,297.6,7.49,
11,2001,0.01,,84.9,8.6,0.014,2.0,25.2,30.15,8.3,24.55,7.449999999999999,5.4,298.5,7.765,
12,2002,0.01,,69.7,5.0,0.041499999999999995,2.0,23.549999999999997,42.43333333333333,11.333333333333334,28.03333333333333,15.733333333333334,15.466666666666669,378.7,9.446666666666667,0.0
13,2003,,,63.7,10.2,0.051,2.0,23.4,78.6,14.1,29.5,18.2,22.3,480.2,7.39,0.0
14,2004,0.0,,74.25,8.85,0.023,1.75,20.4,30.6,7.1,20.1,14.55,13.649999999999999,258.25,6.03,0.5
15,2005,0.04,,59.9,11.6,0.054,2.25,23.0,49.75,10.2,27.1,13.15,23.75,553.35,11.355,0.0
16,2006,0.06,,61.3,17.55,0.06,1.75,21.1,64.05000000000001,11.25,24.6,16.65,17.9,731.45,17.73,0.5
17,2007,0.03,,44.55,20.25,0.041,2.25,22.6,48.1,10.850000000000001,24.0,14.7,16.2,636.0,19.575,0.3333333333333333
18,2008,0.05,,78.05000000000001,9.0,0.036,2.25,22.4,39.9,9.55,22.8,15.2,17.15,547.3499999999999,19.36,0.0
19,2009,0.05,,59.849999999999994,8.1,0.024,2.25,21.2,38.35,9.2,20.0,14.05,15.7,569.7,18.12,0.0
20,2010,0.05,,60.550000000000004,9.75,0.032,2.25,22.1,29.65,7.5,16.4,10.8,13.6,478.05,14.925,
21,2011,,107.91666666666667,,,,,,,,,,,,,
22,2012,,100.66666666666667,72.7,6.1,0.029,2.5,22.0,60.9,11.5,17.5,17.0,25.0,703.2,13.08,2.0
23,2013,,102.41666666666667,,,,,,,,,,,,,
24,2014,,97.08333333333333,82.4,8.0,0.06,2.5,22.0,41.0,11.9,14.3,14.2,10.1,726.5,15.41,0.0
25,2015,,120.58333333333333,52.0,9.0,0.05,2.5,22.0,23.0,7.0,11.0,7.0,3.0,456.0,9.76,0.0
26,2016,,133.83333333333334,,,,,,,,,,,,,2.0
27,2017,,,,,,,,,,,,,,,-0.5
28,2018,,,,,,,,,,,,,,,
29,2019,,,,,,,,,,,,,,,
30,2020,,,,,,,,,,,,,,,
